BrandNewCarPrice,CarName,URL,UsedCarPrice
261～295,オーラ,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001362083/,253.0
202～244,ノート e-POWER,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000920632/,169～298
299～380,セレナ e-POWER,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001024839/,195～419
275～286,キックス e-POWER,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001268115/,195～312
660～790,アリア,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001273294/,
177～308,ノート e-POWER,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000920632/,68～273
255～435,208,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000419518/,218～398
444～717,モデル3,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000868351/,389～729
332～499,リーフ,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000099959/,162～432
306～477,SUV 2008,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000597596/,269～438
242～495,MX-30,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001276992/,183～481
273～456,リーフ,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000099959/,19～197
,モデルY,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001215150/,
1169～1799,モデルS,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000625966/,385～1590
640～790,EQA,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001345988/,768.0
226～398,i-MiEV,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000100250/,29～199
710～860,MIRAI (ミライ),https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000716023/,580～698
520～732,DS 7 CROSSBACK,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001009568/,298～629
199～368,208,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000419518/,20～249
1269～1499,モデルX,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000625968/,678～1200
505～616,i3,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000595865/,158～478
451～495,Honda e,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001276990/,415～495
392～534,DS 3 CROSSBACK,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001150529/,238～439
79～91,コムス,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001091827/,34～79
259～305,SUV 2008,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000597596/,49～378
1203～2468,タイカン,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001215145/,1470～2800
723～740,MIRAI (ミライ),https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000716023/,113～349
,サイバートラック,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001215147/,
895,EQC,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001171706/,739～1098
460～485,e-NV200 ワゴン,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000662852/,128～199
1276～1481,テスラ ロードスター,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000107099/,
180～219,ミニキャブ MiEV 商用車,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000647134/,
,テスラ ロードスター,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000107099/,
295～399,フォーツー エレクトリックドライブ,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000451936/,69～228
499～544,e-ゴルフ,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001006116/,268～335
1155～1373,iX,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001320156/,
1005～1221,I-PACE,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001093157/,628～998
1145～1327,e-tron スポーツバック,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001277486/,938～1230
1399,e-tron GT quattro,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001347650/,
935～1256,e-tron,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001324275/,
346～379,セレナ e-POWER 福祉車両,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001037019/,
1799,RS e-tron GT,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001348142/,
366,e-up!,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000704629/,
,G4,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000961199/,
,ノート e-POWER 福祉車両,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000920634/,
,オーラ 福祉車両,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0001362346/,
472,プラグイン ステラ,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000039298/,
165～196,ミニキャブ MiEV トラック,https://kakaku.com/kuruma/ranking/fueltype=electric-car//item/K0000647130/,95～185
